Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Poster,totalSeasons,Error,code,message,data
Ai Weiwei: The Fake Case,2013,Not Rated,30 Nov 2013,86 min,"Documentary, Drama",Andreas Johnsen,Andreas Johnsen,"Ai Weiwei, Andreas Johnsen, Lao Ai",A documentary reflects on artist Ai Weiwei's battle against the lawsuit thrust upon him by the Chinese government in an effort to silence him.,"Mandarin, English","Denmark, China, United Kingdom",https://m.media-amazon.com/images/M/MV5BMTQ3NjYwMTkwNF5BMl5BanBnXkFtZTgwMDkwMjY0MTE@._V1_SX300.jpg,,,,,
Cuban Fury,2014,R,11 Apr 2014,98 min,"Comedy, Romance, Sport",James Griffiths,"Jon Brown, Nick Frost","Nick Frost, Rashida Jones, Chris O'Dowd","Beneath Bruce Garrett's under-confident, overweight exterior, the passionate heart of a salsa king lies dormant. Now, one woman is about to reignite his Latin fire.","English, Persian, Spanish",United Kingdom,https://m.media-amazon.com/images/M/MV5BMTcwMTgwMjkzM15BMl5BanBnXkFtZTgwNDYzMDY0MTE@._V1_SX300.jpg,,,,,
The Rocket,2005,PG,26 Mar 2007,124 min,"Biography, Drama, Sport",Charles Binamé,Ken Scott,"Roy Dupuis, Stephen McHattie, Julie LeBreton","A story about Quebec's most famous hockey player, Maurice ""The Rocket"" Richard, focusing on the struggles of a French Canadian in the National Hockey League dominated by Anglophones.","French, English",Canada,https://m.media-amazon.com/images/M/MV5BYzA5YTM0ZTUtYTc4NS00MTk0LTg3MTUtYmYzNmNiMDUyMDkxL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,,,,,
The Bag Man,2014,R,28 Feb 2014,108 min,"Action, Crime, Drama",David Grovic,"David Grovic, Paul Conway, James Russo","John Cusack, Rebecca Da Costa, Robert De Niro","A criminal bides his time at a seedy motel, waiting for his boss after killing several men and making away with a mystery bag.",English,"Bahamas, United States",https://m.media-amazon.com/images/M/MV5BMjE4NDc3NjUyNl5BMl5BanBnXkFtZTgwMDA4MDQwMTE@._V1_SX300.jpg,,,,,
In Bloom,2013,Not Rated,10 Jan 2014,102 min,Drama,"Nana Ekvtimishvili, Simon Groß",Nana Ekvtimishvili,"Lika Babluani, Mariam Bokeria, Zurab Gogaladze",Set in the Georgian capital of Tbilisi in 1992. Friends Eka and Natia look to leave childhood behind as they ignore societal customs and work to escape their turbulent family lives.,Georgian,"Georgia, Germany, France",https://m.media-amazon.com/images/M/MV5BMTAwMDQ2MDg5NTheQTJeQWpwZ15BbWU4MDkwMjg2MjAx._V1_SX300.jpg,,,,,
Rudderless,2014,R,21 Feb 2015,105 min,"Comedy, Drama, Music",William H. Macy,"Casey Twenter, Jeff Robison, William H. Macy","Billy Crudup, Anton Yelchin, Felicity Huffman","A grieving father in a downward spiral stumbles across a box of his recently deceased son's demo tapes and lyrics. Shocked by the discovery of this unknown talent, he forms a band in the hope of finding some catharsis.",English,United States,https://m.media-amazon.com/images/M/MV5BMjQwNTI2MTA0NV5BMl5BanBnXkFtZTgwODc1NzkzMjE@._V1_SX300.jpg,,,,,
Big Men,2013,Not Rated,14 Mar 2014,99 min,Documentary,Rachel Boynton,Rachel Boynton,N/A,"The film's central story follows a small group of American explorers at Dallas-based oil company Kosmos Energy. Between 2007 and 2011, with unprecedented, independent access, Big Men's two-person crew filmed inside the oil company...",English,"United Kingdom, Denmark, United States",https://m.media-amazon.com/images/M/MV5BMTc5ODI4MDI0M15BMl5BanBnXkFtZTgwNTYwNzkzMTE@._V1_SX300.jpg,,,,,
Starred Up,2013,Not Rated,26 Aug 2014,106 min,"Crime, Drama",David Mackenzie,Jonathan Asser,"Jack O'Connell, Ben Mendelsohn, Rupert Friend","Eric Love, 19, is locked up in prison. On his first day, he assaults another inmate and several guards. He's offered group therapy and his dad, an inmate as well, tries to talk sense into him. Can he be rehabilitated?",English,United Kingdom,https://m.media-amazon.com/images/M/MV5BMTczOTY4MTg2OF5BMl5BanBnXkFtZTgwNTM2NzcxMjE@._V1_SX300.jpg,,,,,
Ilo Ilo,2013,Not Rated,29 Aug 2013,99 min,Drama,Anthony Chen,Anthony Chen,"Yann Yann Yeo, Tian Wen Chen, Angeli Bayani","In 90s Singapore, the friendship between Filipino nursemaid Teresa and her young charge Jiale makes waves in a family, while the Asian recession hits the region.","Mandarin, Tagalog, English, Hokkien","Singapore, Japan, Taiwan, France",https://m.media-amazon.com/images/M/MV5BMTM3NzU5NjAwNF5BMl5BanBnXkFtZTcwMzQzMDI1OQ@@._V1_SX300.jpg,,,,,
,,,,,,,,,,,,,,Movie not found!,,,
At Middleton,2013,R,05 Sep 2013,99 min,"Comedy, Romance",Adam Rodgers,"Glenn German, Adam Rodgers","Andy Garcia, Vera Farmiga, Taissa Farmiga",Two parents fall in love over the course of a single day while playing hooky from their children's college tour.,English,United States,https://m.media-amazon.com/images/M/MV5BODM2OTg0OTE2Ml5BMl5BanBnXkFtZTgwMDk4NzEwMTE@._V1_SX300.jpg,,,,,
Half of a Yellow Sun,2013,R,16 May 2014,111 min,"Drama, Romance",Biyi Bandele,"Chimamanda Ngozi Adichie, Biyi Bandele","Chiwetel Ejiofor, Thandiwe Newton, Anika Noni Rose","Sisters Olanna and Kainene return home to 1960s Nigeria, where they soon diverge on different paths. As civil war breaks out, political events loom larger than their differences as they join the fight to establish an independent r...",English,"Nigeria, United Kingdom",https://m.media-amazon.com/images/M/MV5BMjI5NTQ3NzAyMV5BMl5BanBnXkFtZTgwMTcxNjk5MDE@._V1_SX300.jpg,,,,,
Enough Said,2013,PG-13,11 Oct 2013,93 min,"Comedy, Drama, Romance",Nicole Holofcener,Nicole Holofcener,"Julia Louis-Dreyfus, James Gandolfini, Catherine Keener",A divorced woman who decides to pursue the man she's interested in learns he's her new friend's ex-husband.,English,United States,https://m.media-amazon.com/images/M/MV5BMjI2MjIwMDk2Ml5BMl5BanBnXkFtZTcwNTQ1MzQ5OQ@@._V1_SX300.jpg,,,,,
,,,,,,,,,,,,,,Movie not found!,,,
Low Down,2014,R,27 Jan 2015,114 min,"Biography, Drama, Music",Jeff Preiss,"Amy Albany, Topper Lilien","John Hawkes, Elle Fanning, Glenn Close","A look at the life of pianist Joe Albany from the perspective of his young daughter, as she watches him contend with his drug addiction during the 1970s jazz scene.",English,United States,https://m.media-amazon.com/images/M/MV5BMTgyMzgwNjk1MV5BMl5BanBnXkFtZTgwNDcwODI4MjE@._V1_SX300.jpg,,,,,
Hellion,2014,R,13 Jun 2014,99 min,"Drama, Thriller",Kat Candler,Kat Candler,"Aaron Paul, Juliette Lewis, Josh Wiggins","When motocross and heavy metal obsessed thirteen-year-old Jacob's increasing delinquent behavior forces CPS to place his little brother, Wes, with his aunt, Jacob and his emotionally absent father, Hollis, must finally take respon...",English,United States,https://m.media-amazon.com/images/M/MV5BMTUwOTk5MzQ2Nl5BMl5BanBnXkFtZTgwMDg5NDM4MTE@._V1_SX300.jpg,,,,,
Hateship Loveship,2013,R,12 Jun 2014,104 min,"Drama, Romance",Liza Johnson,"Mark Poirier, Alice Munro","Kristen Wiig, Guy Pearce, Hailee Steinfeld","A wild teenage girl orchestrates a romance between her nanny and her father, who is a recovering addict.",English,United States,https://m.media-amazon.com/images/M/MV5BMTQzMTc3MjY5NV5BMl5BanBnXkFtZTgwNzM0MzI1MTE@._V1_SX300.jpg,,,,,
To Be Takei,2014,Not Rated,22 Aug 2014,94 min,"Documentary, Biography",Jennifer M. Kroot,N/A,"George Takei, Brad Takei, Walter Koenig","A look at the many roles played by eclectic actor/activist George Takei, whose wit, humor and grace have helped him to become an internationally beloved figure and Internet phenomenon with 7-million Facebook fans and counting.",English,United States,https://m.media-amazon.com/images/M/MV5BMjI2NzQxNDEzMF5BMl5BanBnXkFtZTgwMTg1MTU0MjE@._V1_SX300.jpg,,,,,
The Missing Picture,2013,Not Rated,19 Mar 2014,92 min,Documentary,Rithy Panh,"Rithy Panh, Christophe Bataille","Randal Douc, Jean-Baptiste Phou","Rithy Panh uses clay figures, archival footage, and his narration to recreate the atrocities Cambodia's Khmer Rouge committed between 1975 and 1979.",French,"Cambodia, France",https://m.media-amazon.com/images/M/MV5BNjc5MDkyODM3NF5BMl5BanBnXkFtZTgwMzAxNjgwMTE@._V1_SX300.jpg,,,,,
The Internet's Own Boy: The Story of Aaron Swartz,2014,Not Rated,27 Jun 2014,105 min,"Documentary, Biography, Crime",Brian Knappenberger,Brian Knappenberger,"Aaron Swartz, Tim Berners-Lee, Cindy Cohn","The story of programming prodigy and information activist Aaron Swartz, who took his own life at the age of 26.",English,United States,https://m.media-amazon.com/images/M/MV5BMjgwOTgwNjQ5MV5BMl5BanBnXkFtZTgwMzk1NTQ2MTE@._V1_SX300.jpg,,,,,
The Taking of Tiger Mountain,2014,Not Rated,23 Dec 2014,141 min,"Action, Adventure, Biography",Hark Tsui,"Bo Qu, Jianxin Huang, Hark Tsui","Hanyu Zhang, Tony Ka Fai Leung, Kenny Lin",A story focusing on a conflict between a People's Liberation Army squad and a bandit gang in north-east China during the Chinese revolution.,"Mandarin, English",China,https://m.media-amazon.com/images/M/MV5BNDI3NTUxNjQxNl5BMl5BanBnXkFtZTgwNTgzMDE2NTE@._V1_SX300.jpg,,,,,
The Retrieval,2013,R,02 Apr 2014,92 min,"Adventure, Drama, Western",Chris Eska,Chris Eska,"Ashton Sanders, Tishuan Scott, Keston John","On the outskirts of the U.S. Civil War, a boy is sent north by his bounty hunter gang to retrieve a wanted man.",English,United States,https://m.media-amazon.com/images/M/MV5BNjU3Mzk3MjU4Nl5BMl5BanBnXkFtZTgwNDQzOTczMTE@._V1_SX300.jpg,,,,,
A Touch of Sin,2013,Not Rated,11 Dec 2013,130 min,"Action, Drama",Zhangke Jia,Zhangke Jia,"Wu Jiang, Baoqiang Wang, Tao Zhao",Four independent stories set in modern China about random acts of violence.,"Mandarin, Cantonese, English","China, Japan, France",https://m.media-amazon.com/images/M/MV5BZDdlZDIxYzAtOTEyNy00ZTJlLTkwMDMtYjMyNWJiM2JkNWIwXkEyXkFqcGdeQXVyMzY2MDk0MTk@._V1_SX300.jpg,,,,,
,,,,,,,,,,,,,,Movie not found!,,,
Lucky Them,2013,R,24 Apr 2015,97 min,"Comedy, Drama",Megan Griffiths,"Huck Botko, Caroline Sherman, Emily Wachtel","Toni Collette, Thomas Haden Church, Nina Arianda",A rock journalist is assigned to track down her ex-boyfriend.,English,United States,https://m.media-amazon.com/images/M/MV5BMTM5OTI4ODAzOV5BMl5BanBnXkFtZTgwNTY5OTg2MTE@._V1_SX300.jpg,,,,,
She's Beautiful When She's Angry,2014,Not Rated,02 Oct 2014,92 min,"Documentary, History",Mary Dore,N/A,"Chude Pamela Allen, Alta, Judith Arcana","A documentary that resurrects the buried history of the outrageous, often brilliant women who founded the modern women's movement from 1966 to 1971.",English,United States,https://m.media-amazon.com/images/M/MV5BMTA1ODkwODEyNDBeQTJeQWpwZ15BbWU4MDk1MjY0MDMx._V1_SX300.jpg,,,,,
American Mustang,2013,PG,30 Oct 2014,72 min,"Documentary, Family, Western",Monty Miranda,"Henry Ansbacher, Ellie Phipps Price","Alison Eastwood, Daryl Hannah, Jim Neubert","A young girl discovers that America's wild horses are in danger of being wiped off the land they've called home for thousands of years, as American Mustang the Movie unveils the compelling story of the wild mustang.",English,United States,https://m.media-amazon.com/images/M/MV5BMTUyMjY4MTIzNF5BMl5BanBnXkFtZTgwMzQ0ODM3MDE@._V1_SX300.jpg,,,,,
A Master Builder,2013,Not Rated,22 Jun 2014,130 min,Drama,Jonathan Demme,"Henrik Ibsen, Wallace Shawn","Wallace Shawn, Julie Hagerty, Lisa Joyce","A successful, ego-maniacal architect who has spent a lifetime bullying his wife, employees and mistresses wants to make peace as his life approaches its final act.",English,United States,https://m.media-amazon.com/images/M/MV5BMjA3MTcyNTU5MF5BMl5BanBnXkFtZTgwMjc4MTExNTE@._V1_SX300.jpg,,,,,
Gangs of Filmistan,2020,N/A,31 Aug 2020,24 min,Comedy,N/A,"Neeti Simoes, Preeti Simoes","Rahul Kumar, Sunil Grover, Upasna Singh","Welcome to Bhindi Bhai's house of comedy. As his tenants try to impress him with the funniest Bollywood spoofs, a heavy dose of entertainment is guaranteed.",Hindi,India,https://m.media-amazon.com/images/M/MV5BZGFiNzQ0NGYtZTk5Yy00N2NmLWFjOGMtZWNjZDg0YWQ3NjE0XkEyXkFqcGdeQXVyMTIzNTE5MDkz._V1_SX300.jpg,1,,,,
There's No Place Like Utopia,2014,PG-13,18 Jul 2014,110 min,Documentary,Joel Gilbert,Joel Gilbert,"Jack Cashill, Jerome R. Corsi, Joel Gilbert",Filmmaker Joel Gilbert travels across America confronting progressives and exposing their fantasy of Utopia.,English,United States,https://m.media-amazon.com/images/M/MV5BMTk0NjI0NDc2M15BMl5BanBnXkFtZTgwNjIyNjkxMjE@._V1_SX300.jpg,,,,,
The Dog,2013,Not Rated,15 Aug 2014,101 min,"Documentary, Adventure, Biography","Allison Berg, Frank Keraudren","Allison Berg, Frank Keraudren","John Wojtowicz, Carmen Bifulco, Jeremy Bowker","A documentary portrait of the late John Wojtowicz, whose attempted robbery of a Brooklyn bank to finance his lover's gender-reassignment surgery was the real-life inspiration for Dog Day Afternoon (1975).",English,United States,https://m.media-amazon.com/images/M/MV5BMTQ1MTIyODAxM15BMl5BanBnXkFtZTgwODc3NTExMjE@._V1_SX300.jpg,,,,,
Alphaville,1965,Not Rated,05 May 1965,99 min,"Drama, Mystery, Sci-Fi",Jean-Luc Godard,"Jean-Luc Godard, Paul Éluard","Eddie Constantine, Anna Karina, Akim Tamiroff",A U.S. secret agent is sent to the distant space city of Alphaville where he must find a missing person and free the city from its tyrannical ruler.,"English, French","France, Italy",https://m.media-amazon.com/images/M/MV5BMjE1MDUxNDk2NF5BMl5BanBnXkFtZTgwMDM5MDY5MDE@._V1_SX300.jpg,,,,,
If You Build It,2013,Not Rated,06 Apr 2013,85 min,Documentary,Patrick Creadon,N/A,"Erick Bowen, Rodecoe Dunlow, Kerron Hayes",Spend a year in the life of one of America's most innovative classrooms.,English,United States,https://m.media-amazon.com/images/M/MV5BMjIwMzkwNDg2Nl5BMl5BanBnXkFtZTgwMjE1MDQ3MDE@._V1_SX300.jpg,,,,,
,,,,,,,,,,,,,,Movie not found!,,,
Next Goal Wins,2014,Not Rated,09 May 2014,97 min,"Documentary, Sport","Mike Brett, Steve Jamison",N/A,"Thomas Rongen, Jaiyah Saelua, Nicky Salapu","The power of hope in the face of seemingly insurmountable odds, and an object lesson in what it really means to be a winner in life.",English,United Kingdom,https://m.media-amazon.com/images/M/MV5BMjI3ODcxOTExNl5BMl5BanBnXkFtZTgwOTU0NTg1MTE@._V1_SX300.jpg,,,,,
Water,2005,PG-13,26 May 2006,117 min,Drama,Deepa Mehta,"Anurag Kashyap, Deepa Mehta","Lisa Ray, John Abraham, Seema Biswas","Set in colonial India against Gandhi's rise to power, it's the story of 8-year-old Chuyia, who is widowed and sent to a home to live in penitence; once there, Chuyia's feisty presence deeply affects the lives of the other residents.","Hindi, Sanskrit","Canada, India",https://m.media-amazon.com/images/M/MV5BZmQ4ODNjNjctYzkxYS00N2MzLWE0ZTctOGVkYzM2NjRmZDMyXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg,,,,,
Blood Ties,2013,R,30 Oct 2013,127 min,"Action, Crime, Drama",Guillaume Canet,"Guillaume Canet, James Gray, Jacques Maillot","Clive Owen, Marion Cotillard, Billy Crudup",Two brothers on either side of the law face off over organized crime in Brooklyn during the 1970s.,"English, Italian, Spanish","France, United States",https://m.media-amazon.com/images/M/MV5BMTM5NDc5NTc5MF5BMl5BanBnXkFtZTgwNDA2MjMwMTE@._V1_SX300.jpg,,,,,
Flamenco Flamenco,2010,Not Rated,19 Nov 2010,97 min,"Documentary, Music",Carlos Saura,Carlos Saura,"Sara Baras, José Miguel Carmona, Montse Cortés",A look at the history and traditions of flamenco music and dance through the live performance of a wide variety of pieces.,Spanish,Spain,https://m.media-amazon.com/images/M/MV5BMTQ1NjIyNDU0OV5BMl5BanBnXkFtZTgwOTUwMTcyNjE@._V1_SX300.jpg,,,,,
Percy Jackson: Sea of Monsters,2013,PG,07 Aug 2013,106 min,"Adventure, Family, Fantasy",Thor Freudenthal,"Marc Guggenheim, Rick Riordan","Logan Lerman, Alexandra Daddario, Brandon T. Jackson","In order to restore their dying safe haven, the son of Poseidon and his friends embark on a quest to the Sea of Monsters, to find the mythical Golden Fleece, all the while trying to stop an ancient evil from rising.",English,United States,https://m.media-amazon.com/images/M/MV5BYmE4MThmY2UtNDYxOC00YmFkLTg1NGEtMTQ3YTFmZjdhZmRiXkEyXkFqcGdeQXVyNjA3MDQ1NzY@._V1_SX300.jpg,,,,,
Elsa,1982,N/A,01 May 1982,5 min,"Short, Comedy, Drama",Marja Pensala,Marja Pensala,"Juha Olavinen, Pirjo Ravattinen",N/A,Finnish,Finland,https://m.media-amazon.com/images/M/MV5BY2I4YzUwNTMtMzcyNS00ZjUxLWIwMzktNjBhN2JhMmU5NzdhXkEyXkFqcGdeQXVyNDcwMzU5NDE@._V1_SX300.jpg,,,,,
Interior. Leather Bar.,2013,Not Rated,03 Oct 2013,60 min,Drama,"James Franco, Travis Mathews",Travis Mathews,"Val Lauren, Christian Patrick, James Franco",Filmmakers James Franco and Travis Mathews re-imagine the lost 40 minutes from Cruising (1980) as a starting point to a broader exploration of sexual and creative freedom.,English,United States,https://m.media-amazon.com/images/M/MV5BMjA1MTUwNTEyOF5BMl5BanBnXkFtZTgwMTEyMDcyMTE@._V1_SX300.jpg,,,,,
The Last of the Unjust,2013,PG-13,13 Nov 2013,220 min,"Documentary, History",Claude Lanzmann,Claude Lanzmann,"Benjamin Murmelstein, Claude Lanzmann","A place: Theresienstadt. A unique place of propaganda which Adolf Eichmann called the ""model ghetto"", designed to mislead the world and Jewish people regarding its real nature, to be the last step before the gas chamber. A man: Be...","German, French, English","France, Austria",https://m.media-amazon.com/images/M/MV5BMTcyNjI4NzM3Ml5BMl5BanBnXkFtZTgwNTE0OTQ2MDE@._V1_SX300.jpg,,,,,
Teenage,2013,Not Rated,14 Mar 2014,78 min,"Documentary, History",Matt Wolf,"Jon Savage, Matt Wolf","Jena Malone, Ben Whishaw, Julia Hummer","Teenagers did not always exist. In this living collage of rare archival material, filmed portraits, and voices lifted from early 20th Century diary entries, a struggle erupts between adults and adolescents to define a new idea of ...",English,"United States, Germany",https://m.media-amazon.com/images/M/MV5BMTk0NDM0NzIzN15BMl5BanBnXkFtZTgwNjc2MDgxMTE@._V1_SX300.jpg,,,,,
Decoding Annie Parker,2013,R,02 May 2014,91 min,Drama,Steven Bernstein,"Adam Bernstein, Steven Bernstein, Michael Moss","Helen Hunt, Samantha Morton, Aaron Paul","Love, science, sex, infidelity, disease and comedy, the wild, mostly true story of the irrepressible Annie Parker and the almost discovery of a cure for cancer.",English,N/A,https://m.media-amazon.com/images/M/MV5BMTQ0MjkzNzQ3OF5BMl5BanBnXkFtZTgwOTAyNzA2MTE@._V1_SX300.jpg,,,,,
Two Lives,2012,Unrated,19 Oct 2012,97 min,"Drama, Thriller","Georg Maas, Judith Kaufmann","Georg Maas, Christoph Tölle, Ståle Stein Berg","Juliane Köhler, Liv Ullmann, Sven Nordin","As the Berlin Wall crumbles, Katrine, the daughter of a Norwegian woman and a German occupation soldier, finds her idyllic life disrupted as she refuses to testify a trial against the Norwegian state on behalf of her fellow ""war c...","German, Norwegian, English, Russian, Danish","Germany, Norway",https://m.media-amazon.com/images/M/MV5BZTExYzQwM2EtMzFhYy00ZWFiLWJhNzYtMDM4YmFhZWFiMzViXkEyXkFqcGdeQXVyODc0OTEyNDU@._V1_SX300.jpg,,,,,
Child of God,2013,R,20 Aug 2014,104 min,"Crime, Drama, Thriller",James Franco,"James Franco, Vince Jolivette, Cormac McCarthy","Scott Haze, Tim Blake Nelson, Jim Parrack","A dispossessed, violent man's disastrous attempt to exist outside the social order.",English,United States,https://m.media-amazon.com/images/M/MV5BMjE1NzAyNTE4Nl5BMl5BanBnXkFtZTgwMDAwNjkxMjE@._V1_SX300.jpg,,,,,
Fire in the Blood,2013,N/A,21 Feb 2013,87 min,"Documentary, History",Dylan Mohan Gray,Dylan Mohan Gray,"Zackie Achmat, Peter Mugyenyi, Bill Clinton","An intricate tale of ""medicine, monopoly and malice"", FIRE IN THE BLOOD tells the story of how Western pharmaceutical companies and governments blocked access to low-cost AIDS drugs for the countries of the global south in the yea...","English, Hindi, Manipuri, Xhosa",India,https://m.media-amazon.com/images/M/MV5BMTcxMDUyNjM0MF5BMl5BanBnXkFtZTgwMDEyMDEwMDE@._V1_SX300.jpg,,,,,
