Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Poster,Error,totalSeasons,code,message,data
Introducing the Dwights,2007,R,20 Jul 2007,105 min,"Comedy, Drama",Cherie Nowlan,"Keith Thompson, Jo Brand, Brenda Blethyn","Brenda Blethyn, Khan Chittenden, Emma Booth","The shy son of an aging comedienne tries to find a balance between his demanding home life, his new girlfriend, and his mother's second chance at fame.",English,Australia,https://m.media-amazon.com/images/M/MV5BMTcwOTkyNTk5NV5BMl5BanBnXkFtZTcwMzIxNTk0MQ@@._V1_SX300.jpg,,,,,
Deck the Halls,2006,PG,22 Nov 2006,93 min,"Comedy, Family",John Whitesell,"Matt Corman, Chris Ord, Don Rhymer","Matthew Broderick, Danny DeVito, Kristin Chenoweth",Two neighbors have it out after one of them decorates his house for the holidays so brightly that it can be seen from space.,"English, German",United States,https://m.media-amazon.com/images/M/MV5BMTIzNjA4OTM0OV5BMl5BanBnXkFtZTcwMDgwODkzMQ@@._V1_SX300.jpg,,,,,
Sleuth,1972,PG,11 Dec 1972,138 min,"Mystery, Thriller",Joseph L. Mankiewicz,Anthony Shaffer,"Laurence Olivier, Michael Caine, Alec Cawthorne","A man who loves games and theater invites his wife's lover to meet him, setting up a battle of wits with potentially deadly results.","English, Italian","United Kingdom, United States",https://m.media-amazon.com/images/M/MV5BM2EzZmFmMmItODY3Zi00NjdjLWE0MTYtZWQ3MGIyM2M4YjZhXkEyXkFqcGdeQXVyMzg2MzE2OTE@._V1_SX300.jpg,,,,,
This Is England,2006,Not Rated,27 Apr 2007,101 min,"Crime, Drama",Shane Meadows,Shane Meadows,"Thomas Turgoose, Stephen Graham, Jo Hartley","A young boy becomes friends with a gang of skinheads. Friends soon become like family, and relationships will be pushed to the very limit.",English,United Kingdom,https://m.media-amazon.com/images/M/MV5BMmE3OWZhZDYtOTBjMi00NDIwLTg1NWMtMjg0NjJmZWM4MjliL2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,,,,,
Galapagos,2006,N/A,18 Mar 2007,180 min,Documentary,N/A,N/A,"Tilda Swinton, Richard Wollocombe, Tom Hiddleston",The history of these beautiful Islands from their creation as uprising lava to their being studied by Darwin to their modern day inhabitants.,English,United Kingdom,https://m.media-amazon.com/images/M/MV5BNzdiZmVhNTctNGE5Zi00NmMwLWIzNjktOWY4OWY2ZGQ1OGYyXkEyXkFqcGdeQXVyNTA3MTU2MjE@._V1_SX300.jpg,,1,,,
Days of Glory,2006,R,27 Sep 2006,120 min,"Action, Drama, War",Rachid Bouchareb,"Rachid Bouchareb, Olivier Lorelle","Samy Naceri, Roschdy Zem, Sami Bouajila","During WWII, four North African men enlist in the French army to liberate that country from Nazi oppression, and to fight French discrimination.","French, Arabic","Algeria, France, Morocco, Belgium",https://m.media-amazon.com/images/M/MV5BMTI1MTEzMDc5NF5BMl5BanBnXkFtZTcwMTk0NzA0MQ@@._V1_SX300.jpg,,,,,
Persepolis,2007,PG-13,22 Feb 2008,96 min,"Animation, Biography, Drama","Vincent Paronnaud, Marjane Satrapi","Marjane Satrapi, Vincent Paronnaud","Chiara Mastroianni, Catherine Deneuve, Gena Rowlands",A precocious and outspoken Iranian girl grows up during the Islamic Revolution.,"French, English, Persian, German","France, United States",https://m.media-amazon.com/images/M/MV5BMGRkZThmYzEtYjQxZC00OWEzLThjYjAtYzFkMjY0NGZkZWI4XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,,,,,
Constellation,2005,PG-13,02 Feb 2007,96 min,Drama,Jordan Walker-Pearlman,Jordan Walker-Pearlman,"Gabrielle Union, Billy Dee Williams, Zoe Saldana",A painter living in exile returns home where his family endured generations of racial violence. There he begins to fantasize the people around him as a series of portraits in order to bury the pain and find something beautiful to ...,English,United States,https://m.media-amazon.com/images/M/MV5BMTY2MTAxNjM5NF5BMl5BanBnXkFtZTcwMDM4ODc0MQ@@._V1_SX300.jpg,,,,,
Chalk,2006,PG-13,11 Apr 2007,85 min,"Comedy, Drama",Mike Akel,"Chris Mass, Mike Akel","Troy Schremmer, Janelle Schremmer, Shannon Haragan","An improvisational take on the high school experience, told from the educators' point-of-view.",English,United States,https://m.media-amazon.com/images/M/MV5BMTc4OTEzMDAyNV5BMl5BanBnXkFtZTcwNTUwMDc0MQ@@._V1_SX300.jpg,,,,,
Crazy Love,2007,PG-13,01 Jun 2007,92 min,"Documentary, Romance","Dan Klores, Fisher Stevens",Dan Klores,"Burt Pugach, Linda Pugach, Bob Janoff",The bizarre true story of Linda Riss and Burt Pugach.,English,United States,https://m.media-amazon.com/images/M/MV5BMTUyNjcwMTYwOV5BMl5BanBnXkFtZTcwMTA4OTc0MQ@@._V1_SX300.jpg,,,,,
Fido,2006,R,16 Mar 2007,93 min,"Comedy, Drama, Horror",Andrew Currie,"Robert Chomiak, Andrew Currie, Dennis Heaton","Kesun Loder, Billy Connolly, Carrie-Anne Moss","Space radiation turns the dead into Zombies. Zomcon fights zombies and finds ways to pacify and use them. On pre-teen Timmy's (Kesun Loder's) 1950s suburban street, they all have a zombie doing menial chores. Timmy's zombie become...",English,Canada,https://m.media-amazon.com/images/M/MV5BNzQwMzYyMDQtZTc1Yi00YzU4LThlM2ItYTM5Mjc5NGViNjRjXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,,,,,
Nos voisins Dhantsu,2007,N/A,23 Feb 2007,92 min,Comedy,Alain Chicoine,"Réal Béland Jr., Stéphane Lapointe, Stéphane Lefebvre","Réal Béland Jr., Stéphane Lefebvre, Paul Arcand","Comédie québécoise réalisée au Japon par Alain Chicoine, (metteur en scène de nombreuses émissions, série et galas télé). Le film s'articule autour de séances de micro-trottoir plus ou moins improvisé, durant lesquels Réal Béland ...",French,Canada,https://m.media-amazon.com/images/M/MV5BMzc2MGI2YWEtZWE2MS00MDM2LWEyYTgtMjg3OTM1MmFhMTU5L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNTA1NDY3NzY@._V1_SX300.jpg,,,,,
Shootout at Lokhandwala,2007,Not Rated,25 May 2007,122 min,"Action, Crime, History",Apoorva Lakhia,"Apoorva Lakhia, Suresh Nair, Raj Vasant","Amitabh Bachchan, Sanjay Dutt, Suniel Shetty","An account of the gangster Mahindra Dolas and his gang, which terrorized Mumbai City, and a massive war between Mumbai Police and gangs during 16 November 1991.",Hindi,India,https://m.media-amazon.com/images/M/MV5BNDNhNTI0NmItMzE0NS00ZDljLWI1YjktOGM0OTU5NjljZjFmXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg,,,,,
Romeo,2007,N/A,N/A,N/A,Comedy,Rajasenan,"Meccartin, Raffi","Asokan, Rema Devi C., Dileep","The life of a male nurse Manu takes a turn when a doctor, a reality show contestant and a village girl fall in love with him. He must look for ways to untangle the cobwebs that form as a result.",Malayalam,India,https://m.media-amazon.com/images/M/MV5BMGUyMDM4ZTItMTJiMy00MDgwLTk3ZTctYjdhZjM3MmM5NzdmXkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_SX300.jpg,,,,,
Ten Canoes,2006,Unrated,29 Jun 2006,90 min,"Adventure, Comedy, Drama","Rolf de Heer, Peter Djigirr",Rolf de Heer,"Crusoe Kurddal, Jamie Gulpilil, Richard Birrinbirrin","In Australia's Northern Territory, a man tells us a story of his people and his land. It's about an older man, Minygululu, who has three wives and realizes that his younger brother Dayindi may try to steal away the youngest wife.","Aboriginal, English",Australia,https://m.media-amazon.com/images/M/MV5BMTkzOTQ1NTA0OV5BMl5BanBnXkFtZTcwNzk3MTg0MQ@@._V1_SX300.jpg,,,,,
Southland Tales,2006,R,07 Dec 2007,145 min,"Comedy, Drama, Mystery",Richard Kelly,Richard Kelly,"Dwayne Johnson, Sarah Michelle Gellar, Seann William Scott","During a three-day heat wave just before a huge 4th of July celebration, an action star stricken with amnesia meets up with a porn star who is developing her own reality TV project, and a policeman who holds the key to a vast cons...",English,"France, Germany, United States",https://m.media-amazon.com/images/M/MV5BNDk0ZDY4NTItOTY3Zi00MjU1LTkzNDgtZjg1MDA3Nzc4YWRiXkEyXkFqcGdeQXVyMjQwMjk0NjI@._V1_SX300.jpg,,,,,
Bhagam Bhag,2006,Not Rated,22 Dec 2006,157 min,"Comedy, Drama, Mystery",Priyadarshan,"Neeraj Vora, Jay Master, Sarim Momin","Akshay Kumar, Govinda, Paresh Rawal","The members of a drama troupe fall in trouble when they are framed for a murder. Things go worse when they find their actress committing suicide, which is somehow linked with the murder.",Hindi,India,https://m.media-amazon.com/images/M/MV5BMWUwOTZlNTItZDA3Zi00MmQ5LWE1MDQtZTA1Yzg3ZGIwNWU5XkEyXkFqcGdeQXVyODAzNzAwOTU@._V1_SX300.jpg,,,,,
The Rules of the Game,1939,Not Rated,08 Apr 1950,110 min,"Comedy, Drama",Jean Renoir,"Jean Renoir, Carl Koch, Beaumarchais","Marcel Dalio, Nora Gregor, Paulette Dubost","A bourgeois life in France at the onset of World War II, as the rich and their poor servants meet up at a French chateau.","French, German, English",France,https://m.media-amazon.com/images/M/MV5BYTE4NjYxMGEtZmQxZi00YWVmLWJjZTctYTJmNDFmZGEwNDVhXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg,,,,,
For the Bible Tells Me So,2007,Unrated,05 Oct 2007,95 min,"Documentary, Romance",Daniel G. Karslake,"Daniel G. Karslake, Helen R. Mendoza","Imogene Robinson, Victor Robinson, Gene Robinson",An exploration of the intersection between religion and homosexuality in the U.S. and how the religious right has used its interpretation of the Bible to stigmatize the gay community.,English,United States,https://m.media-amazon.com/images/M/MV5BZmE1Mzk4ODUtZWEzZS00MWY2LWFjMTItNmUzM2MxYmJiMWI2XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,,,,,
Deep Water,2022,R,18 Mar 2022,115 min,"Drama, Mystery, Thriller",Adrian Lyne,"Zach Helm, Sam Levinson, Patricia Highsmith","Ben Affleck, Ana de Armas, Tracy Letts",A well-to-do husband who allows his wife to have affairs in order to avoid a divorce becomes a prime suspect in the disappearance of her lovers.,English,"United States, Australia",https://m.media-amazon.com/images/M/MV5BNTE1M2NjNDgtYjQ2Ny00YTMzLWJiYWQtMTdmM2Q2YjA1MDg1XkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_SX300.jpg,,,,,
The TV Set,2006,R,28 Apr 2006,88 min,"Comedy, Drama",Jake Kasdan,Jake Kasdan,"David Duchovny, Sigourney Weaver, Ioan Gruffudd","The story of a TV pilot as it goes through the network TV process of casting, production and finally airing.",English,United States,https://m.media-amazon.com/images/M/MV5BODAyMjEzOTE0NF5BMl5BanBnXkFtZTcwMTc1NjU0MQ@@._V1_SX300.jpg,,,,,
Noelle,2019,G,12 Nov 2019,100 min,"Adventure, Comedy, Family",Marc Lawrence,Marc Lawrence,"Anna Kendrick, Shirley MacLaine, Bill Hader","Santa's daughter must take over the family business when her father retires and her brother, who is supposed to inherit the Santa role, gets cold feet.","English, American Sign ",United States,https://m.media-amazon.com/images/M/MV5BMjM2MTIxYTAtYWM3MC00OWI4LWJmMjMtYzBhMWFlMzU0NTdhXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,,,,,
Passage to Zarahemla,2007,PG-13,15 Oct 2007,90 min,"Adventure, Fantasy",Chris Heimerdinger,Chris Heimerdinger,"Summer Naomi Smart, Moronai Kanekoa, Brian Kary","Two teens from L.A. make their way to Utah to hide with distant Mormon relatives from their troubled pasts. An earthquake opens up a time rift, drawing them and their pursuers into an ancient mesoamerican war.",English,United States,https://m.media-amazon.com/images/M/MV5BMTc3NzA1NzY2OV5BMl5BanBnXkFtZTcwNjAyMjU1MQ@@._V1_SX300.jpg,,,,,
Joe Strummer: The Future Is Unwritten,2007,Not Rated,18 May 2007,124 min,"Documentary, Biography, Music",Julien Temple,N/A,"Joe Strummer, Steve Jones, Mick Jones","As the front man of the Clash from 1977, Joe Strummer changed people's lives forever. Four years after his death, his influence reaches out around the world, more strongly now than ever before.",English,"Ireland, United Kingdom",https://m.media-amazon.com/images/M/MV5BMjE4MDc1NTY1M15BMl5BanBnXkFtZTYwODc2MDM4._V1_SX300.jpg,,,,,
"Gandhi, My Father",2007,Not Rated,27 Jul 2007,136 min,"Biography, Drama, History",Feroz Abbas Khan,"Feroz Abbas Khan, Chandulal Dalal, Neelamben Parikh","Akshaye Khanna, Darshan Jariwala, Shefali Shah",The account of troubled relationship between Mahatma Gandhi and his eldest son.,"Hindi, English, Bengali","India, United Kingdom, South Africa, United States",https://m.media-amazon.com/images/M/MV5BMGFhYmJiYWYtZjM3Mi00ZDA5LWIwNjgtNWU0ZDFmZThhYjZjXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg,,,,,
O Jerusalem,2006,R,18 Oct 2006,100 min,"Drama, History",Élie Chouraqui,"Élie Chouraqui, Didier Le Pêcheur","JJ Feild, Saïd Taghmaoui, Maria Papas","A tale of friendship between two men, one Jewish and the other Arab, as the country of Israel is being created.","English, Arabic, Hebrew","France, United Kingdom, Italy, Greece, Israel, United States",https://m.media-amazon.com/images/M/MV5BNTg3NzI1OTMxOF5BMl5BanBnXkFtZTcwNzUzNzkzMQ@@._V1_SX300.jpg,,,,,
Brand Upon the Brain!,2006,Not Rated,24 Sep 2008,95 min,"Comedy, Drama, Fantasy",Guy Maddin,"Guy Maddin, Louis Negin, George Toles","Gretchen Krich, Sullivan Brown, Maya Lawson","Returned home to his long-estranged mother upon a request from her deathbed, a man raised by his parents in an orphanage has to confront the childhood memories that have long haunted him.",English,United States,https://m.media-amazon.com/images/M/MV5BMmI3MTg0NGUtMDc4NS00ZTU3LWFlYjEtZTZhMzc2MDA5ODA0XkEyXkFqcGdeQXVyMjgyNjk3MzE@._V1_SX300.jpg,,,,,
In Search of Mozart,2006,Not Rated,04 Jan 2006,129 min,"Documentary, Music",Phil Grabsky,Phil Grabsky,"Frank Adams-Brown, Debbie Arnold, Sean Barrett",The life of Wolfgang Amadeus Mozart.,English,United Kingdom,https://m.media-amazon.com/images/M/MV5BMTg1MTY1NDQ0MF5BMl5BanBnXkFtZTgwODc4OTkwMzE@._V1_SX300.jpg,,,,,
10 Questions for the Dalai Lama,2006,Unrated,01 May 2006,85 min,Documentary,Rick Ray,Rick Ray,"The Dalai Lama, Tenzin Bagdro, Bob Dole",How do you reconcile a commitment to non-violence when faced with violence? Why do the poor often seem happier than the rich? Must a society lose its traditions in order to move into the future? These are some of the questions pos...,English,United States,https://m.media-amazon.com/images/M/MV5BMTMwMDYyMTE1OV5BMl5BanBnXkFtZTcwMzkzMzM1MQ@@._V1_SX300.jpg,,,,,
Aliens of the Deep,2005,G,25 Aug 2005,100 min,"Documentary, Family","James Cameron, Steven Quale",N/A,"James Cameron, Anatoly M. Sagalevitch, Genya Chernaiev","James Cameron teams up with NASA scientists to explore the Mid-Ocean Ridge, a submerged chain of mountains that band the Earth and are home to some of the planet's most unique life forms.",English,United States,https://m.media-amazon.com/images/M/MV5BMTk2NjU2ODA1M15BMl5BanBnXkFtZTcwNzI0NDcyMQ@@._V1_SX300.jpg,,,,,
Surviving My Mother,2007,N/A,02 Nov 2007,95 min,"Comedy, Drama",Émile Gaudreault,Steve Galluccio,"Caroline Dhavernas, Ellen David, Colin Mochrie","Clara's mother is on her death bed as she tells her daughter that she regrets they are not closer. This revelation causes Clara to pursue a closer relationship with her own daughter, Bianca.",English,Canada,https://m.media-amazon.com/images/M/MV5BOWRmMDk2ZWItNTE4OC00NGM3LWIzMDMtNTQ4NGFhYWQ3MDNjXkEyXkFqcGdeQXVyODQxMjkyNQ@@._V1_SX300.jpg,,,,,
Eagle vs Shark,2007,R,30 Aug 2007,88 min,"Comedy, Romance",Taika Waititi,"Loren Taylor, Taika Waititi","Loren Taylor, Jemaine Clement, Craig Hall","The tale of two socially-awkward misfits and the strange ways they try to find love: through revenge on high-school bullies, burgers, and video games.",English,New Zealand,https://m.media-amazon.com/images/M/MV5BOTUxMzY3MzI0NV5BMl5BanBnXkFtZTcwMDUwMDU0MQ@@._V1_SX300.jpg,,,,,
Boy Culture,2006,Unrated,31 Jan 2007,88 min,"Drama, Romance",Q. Allan Brocka,"Matthew Rettenmund, Philip Pierce, Q. Allan Brocka","Derek Magyar, George Jonson, Patrick Bauchau","A successful male escort describes in a series of confessions his tangled romantic relationships with his two roommates and an older, enigmatic male client.",English,United States,https://m.media-amazon.com/images/M/MV5BMTQ5MjUyOTMzN15BMl5BanBnXkFtZTcwMzIzMDMzMQ@@._V1_SX300.jpg,,,,,
Dus Kahaniyaan,2007,Not Rated,07 Dec 2007,110 min,Drama,"Meghna Gulzar, Sanjay Gupta, Apoorva Lakhia","Sanjay Gupta, S. Farhan, Hansal Mehta","Arbaaz Khan, Mandira Bedi, Sudhanshu Pandey","An anthology of ten short films dealing with diverse subjects such as infidelity, companionship, lust and a spectrum of human emotions.",Hindi,India,https://m.media-amazon.com/images/M/MV5BMzUyODM0MDEyOF5BMl5BanBnXkFtZTgwNjcyMTA2MDE@._V1_SX300.jpg,,,,,
My Kid Could Paint That,2007,PG-13,14 Dec 2007,82 min,"Documentary, Family, Mystery",Amir Bar-Lev,N/A,"Marla Olmstead, Laura Olmstead, Mark Olmstead",A look at the work and surprising success of a four-year-old girl whose paintings have been compared to the likes of Picasso and has raked in hundreds of thousands of dollars.,"English, Mandarin","United States, United Kingdom",https://m.media-amazon.com/images/M/MV5BMTIyMjY4OTQwNV5BMl5BanBnXkFtZTcwMzE5NjA1MQ@@._V1_SX300.jpg,,,,,
First Snow,2006,R,23 Mar 2007,101 min,"Drama, Thriller",Mark Fergus,"Mark Fergus, Hawk Ostby","Guy Pearce, Piper Perabo, William Fichtner",A psychic's ominous reading sends a man into a tailspin.,English,"Germany, United States",https://m.media-amazon.com/images/M/MV5BNDA0OTM5MzQ3M15BMl5BanBnXkFtZTcwMjM2NzI0MQ@@._V1_SX300.jpg,,,,,
Trade,2007,R,18 Oct 2007,120 min,"Crime, Drama, Thriller",Marco Kreuzpaintner,"Jose Rivera, Peter Landesman","Kevin Kline, Kathleen Gati, Paulina Gaitan","Adriana, 13, is kidnapped in Mexico City by Russian sex traffickers. Her criminal 17 y.o. brother starts looking for her. Across the border in Texas, he gets help from a cop.","English, Spanish, Polish, Russian","Germany, United States, Mexico",https://m.media-amazon.com/images/M/MV5BYjUzMmUzZmMtZDRmNy00NGJkLWJmZTgtZDEwZmZkMGMxMjU2XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,,,,,
The Fountain,2006,PG-13,22 Nov 2006,97 min,"Drama, Mystery, Romance",Darren Aronofsky,"Darren Aronofsky, Ari Handel","Hugh Jackman, Rachel Weisz, Sean Patrick Thomas","As a modern-day scientist, Tommy is struggling with mortality, desperately searching for the medical breakthrough that will save the life of his cancer-stricken wife, Izzi.","English, Maya","Canada, United States",https://m.media-amazon.com/images/M/MV5BMTU5OTczMTcxMV5BMl5BanBnXkFtZTcwNDg3MTEzMw@@._V1_SX300.jpg,,,,,
Believe in Me,2006,PG,06 Feb 2006,131 min,"Drama, Sport",Robert Collector,"Robert Collector, Harold Keith","Jeffrey Donovan, Samantha Mathis, Doris Hargrave","In a conservative small town, a young man's wish to coach high school basketball are tweaked by a school board decision that makes him the new coach of the girls' team.",English,United States,https://m.media-amazon.com/images/M/MV5BMTVkYmJmYjctNWRjYy00ZGI0LTk3MmMtNzI2ODQ5YmQ2OTA0XkEyXkFqcGdeQXVyNjc3MjQzNTI@._V1_SX300.jpg,,,,,
The Page Turner,2006,Unrated,09 Aug 2006,85 min,"Drama, Music, Thriller",Denis Dercourt,"Denis Dercourt, Jacques Sotty","Catherine Frot, Déborah François, Pascal Greggory","After failing the audition to a prestigious music school because of the rude behavior of one of the testers, a girl takes revenge by gaining the trust of the same woman some years later and becoming indispensable for her.",French,France,https://m.media-amazon.com/images/M/MV5BOWIyMDhkYWYtMzZmOC00NGEwLWI1ZmUtMTdjODg1NGE1M2M5XkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_SX300.jpg,,,,,
Angel-A,2005,R,21 Dec 2005,91 min,"Comedy, Drama, Fantasy",Luc Besson,Luc Besson,"Rie Rasmussen, Jamel Debbouze, Gilbert Melki",A beautiful woman helps an inept scam artist get his game together.,"French, Spanish",France,https://m.media-amazon.com/images/M/MV5BZGMxOTMyYTktODNkZS00NmY5LWI0NmMtYWE4OGRiY2M2ZTA0XkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_SX300.jpg,,,,,
What Would Jesus Buy?,2007,PG,16 Nov 2007,91 min,"Documentary, Comedy",Rob VanAlkemade,"Sangeeta Sharma, Rob VanAlkemade","Adetola Abiade, Paul Allen, Paul Norman Allen",An examination of the commercialization of Christmas in America while following Reverend Billy and the Church of Stop Shopping Gospel Choir on a cross-country mission to save Christmas from the Shopocalypse (the end of humankind f...,English,United States,https://m.media-amazon.com/images/M/MV5BMTg4NTUxMjgxOV5BMl5BanBnXkFtZTcwODYxMjU1MQ@@._V1_SX300.jpg,,,,,
